No.,Name,Formula,CAS no.,molecular-weight,critical-temperature,critical-pressure,critical-molar-volume,critical-compressibility-factor,acentric-factor,enthalpy-of-formation,gibbs-energy-of-formation,standard-entropy,standard-net-enthalpy-of-combustion
-,-,-,-,MW,Tc,Pc,Vc,Zc,AcFa,EnFo_IG,GiEnFo_IG,Ent_IG,EnCo_STD
-,-,-,-,g/mol,K,MPa,m3/kmol,-,-,kJ/mol,kJ/mol,J/mol.K,kJ/mol
97,"1,1-Difluoroethane",C2H4F2,75-37-6,66.05,386.44,4.52,0.179,0.252,0.2751,-497,-439.485,282.4,-7.73662
98,"1,2-Difluoroethane",C2H4F2,624-72-6,66.05,445,4.34,0.195,0.229,0.2224,-447.7,-391.9,288.194,-8.23
99,Difluoromethane,CH2F2,1975-10-05,52.023,351.255,5.784,0.123,0.244,0.2771,-452.3,-424.747,246.58,-1.83031
100,Di-isopropyl amine,C6H15N,108-18-9,101.19,523.1,3.2,0.418,0.308,0.3883,-143.8,64.2,412,-39.9
101,Di-isopropyl ether,C6H14O,108-20-3,102.175,500.05,2.88,0.386,0.267,0.3387,-319.2,-124.8,398.9,-37.0261
102,Di-isopropyl ketone,C7H14O,565-80-0,114.185,576,3.02,0.416,0.262,0.4044,-311.4,-123.7,427,-40.95
103,"1,1-Dimethoxyethane",C4H10O2,534-15-6,90.121,507.8,3.773,0.297,0.265,0.3277,-389.7,-238,372.6,-23.94
104,"1,2-Dimethoxypropane",C5H12O2,7778-85-0,104.148,543,3.446,0.35,0.267,0.3522,-384.2,-201.1,403.8,-29.96
105,Dimethyl acetylene,C4H6,503-17-3,54.09,473.2,4.87,0.221,0.274,0.2385,145.7,184.9,283.3,-24.189
106,Dimethyl amine,C2H7N,124-40-3,45.084,437.2,5.34,0.18,0.264,0.2999,-18.45,68.39,272.96,-16.146
107,"2,3-Dimethylbutane",C6H14,79-29-8,86.175,500,3.15,0.361,0.274,0.2493,-176.8,-3.125,365.92,-38.4761
108,"1,1-Dimethylcyclohexane",C8H16,590-66-9,112.213,591.15,2.938,0.45,0.269,0.2326,-181,35.2293,365.012,-48.639
109,"cis-1,2-Dimethylcyclohexane",C8H16,2207-01-04,112.213,606.15,2.938,0.46,0.268,0.2324,-172.172,41.2124,374.51,-48.7084
110,"trans-1,2-Dimethylcyclohexane",C8H16,6876-23-9,112.213,596.15,2.938,0.46,0.273,0.2379,-179.996,34.4761,370.912,-48.6436
111,Dimethyl disulfide,C2H6S2,624-92-0,94.199,615,5.36,0.252,0.264,0.2059,-24.2,15.16,335.291,-20.441
112,Dimethyl ether,C2H6O,115-10-6,46.068,400.1,5.37,0.17,0.2744,0.2002,-184.1,-112.8,266.7,-13.284
113,"N,N-Dimethyl formamide",C3H7NO,1968-12-02,73.094,649.6,4.42,0.26199,0.214,0.3177,-191.7,-88.4,326,-17.8871
114,"2,3-Dimethylpentane",C7H16,565-59-3,100.202,537.3,2.91,0.393,0.256,0.2964,-194.1,5.717,414.55,-44.6075
115,Dimethyl phthalate,C10H10O4,131-11-3,194.184,766,2.78,0.53,0.231,0.6568,-605,-467.749,660,-44.662
